id,text,A_text,A_attrs,B_text,B_attrs,C_text,C_attrs,D_text,D_attrs
1,The elevator is out; you have heavy bags to get to the 10th floor.,Heave the bags onto your shoulders and charge up the stairs.,"Strength,Conviction","Carry the load at a steady, rhythmic pace, ignoring the strain.","Conviction,Composure",Offer to carry a few items for an elderly neighbor who is also stuck.,"Composure,Empathy",Check in with the other stranded residents to keep morale high.,"Empathy,Aura"
2,You receive an alert that your primary email has been hacked.,Trust your gut on the target and logically verify the breach source.,"Aura,Wisdom",Methodically trace the login and create custom encryption.,"Wisdom,Ingenuity",Build a script to automate password resets with rapid efficiency.,"Ingenuity,Dexterity",Scan for subtle anomalies and lock down hardware tokens.,"Dexterity,Perception"
3,You see a transit guard being unfairly aggressive with a non-native speaker.,Record the badge number and stay rooted to the spot.,"Perception,Fortitude",Physically step into the space to block the guard’s advance.,"Fortitude,Strength","Intervene with a firm, steady hand to pull the victim away.","Strength,Composure","Speak up loudly and clearly, appealing to onlookers to witness.","Conviction,Empathy"
4,You’re offered a high-paying job in a city you genuinely dislike.,Accept the role but maintain a strict internal barrier.,"Composure,Aura",Consider the social impact and research long-term career growth.,"Empathy,Wisdom","Negotiate a ""digital nomad"" clause for remote work.","Aura,Ingenuity",Breakdown cost versus salary and negotiate a tech stipend.,"Wisdom,Dexterity"
5,A storm knocks a large limb onto an empty car; people are just standing around.,Identify structural weak points and use a lever to roll the limb.,"Ingenuity,Perception",Climb onto the debris to chop it into manageable pieces.,"Dexterity,Fortitude","Scan for power lines first, then lead a coordinated heavy lift.","Perception,Strength","Keep pulling at the branches until clear, refusing to quit.","Fortitude,Conviction"
6,A flash flood has stranded several commuters on top of their cars in the street.,Carry the most vulnerable to higher ground one by one.,"Strength,Empathy",Take charge of the crowd to prevent panic with authority.,"Conviction,Aura",Analyze the flow and direct people to the safest path.,"Composure,Wisdom",Rig a makeshift lifeline and reassure those who are stranded.,"Empathy,Ingenuity"
7,Your home security system alerts you to a forced entry while you are inside.,Trust your instincts and move through the house with fluid grace.,"Aura,Dexterity",Watch the security feed and listen for intruder movement.,"Wisdom,Perception","Barricade the door and hold the line, bracing for impact.","Ingenuity,Fortitude",Move quickly to retrieve a tool and prepare for physical force.,"Dexterity,Strength"
8,"You are lost in an unfamiliar city at night, and your phone battery just died.",Spot a transit map and trust your direction to walk back.,"Perception,Conviction",Maintain a brisk walk with a poker face to avoid being a target.,"Fortitude,Composure",Use your imposing stride to keep trouble at a distance.,"Strength,Aura",Stop at a hotel lobby and explain the situation to the concierge.,"Conviction,Wisdom"
9,You witness a hit-and-run in a parking lot; the driver is speeding away.,Snap a burst of photos and calculate the car’s exit route.,"Composure,Ingenuity",Rush to the victim's side to provide first aid and call for help.,"Empathy,Dexterity",Focus intensely on the driver’s face and license plate.,"Aura,Perception",Logically recall the make and model while securing the scene.,"Wisdom,Fortitude"
10,A colleague is being publicly berated by a toxic manager in the office.,"Create a loud, physical distraction to break the manager's momentum.","Ingenuity,Strength",Slip a supportive note to the colleague and confront the manager later.,"Dexterity,Conviction",Watch the room’s reaction silently to make the manager stop.,"Perception,Composure",Sit with the colleague afterward and listen to them vent.,"Fortitude,Empathy"
